UV-Vis Spectrum of Solution of Ferrocene in anhydrous Acetone
wavelength,absorbance
749.1,-0.00350983
749,-0.00352046
748.9,-0.00353735
748.8,-0.00351801
748.7,-0.00353156
748.6,-0.00354613
748.5,-0.00354081
748.4,-0.00354427
748.3,-0.00352905
748.2,-0.00350858
748.1,-0.00348852
748,-0.00348936
747.9,-0.00349091
747.8,-0.0035118
747.7,-0.00353216
747.6,-0.00355215
747.5,-0.0035712
747.4,-0.00356612
747.3,-0.00356958
747.2,-0.00356069
747.1,-0.00355472
747,-0.00356171
746.9,-0.00353872
746.8,-0.00352517
746.7,-0.00353747
746.6,-0.00353986
746.5,-0.00355335
746.4,-0.00356379
746.3,-0.00354613
746.2,-0.00353216
746.1,-0.00350762
746,-0.00351491
745.9,-0.00351926
745.8,-0.00353031
745.7,-0.00354851
745.6,-0.00355162
745.5,-0.00355926
745.4,-0.00355263
745.3,-0.00356057
745.2,-0.003554
745.1,-0.00355329
745,-0.0035386
744.9,-0.00355436
744.8,-0.00356684
744.7,-0.00356714
744.6,-0.00356296
744.5,-0.00355412
744.4,-0.00354457
744.3,-0.00353216
744.2,-0.00354201
744.1,-0.00353741
744,-0.00354147
743.9,-0.00354213
743.8,-0.00356171
743.7,-0.00357311
743.6,-0.00357072
743.5,-0.00356899
743.4,-0.00355848
743.3,-0.00354654
743.2,-0.00354708
743.1,-0.00355753
743,-0.00355812
742.9,-0.00354756
742.8,-0.0035555
742.7,-0.00355985
742.6,-0.00355836
742.5,-0.00356535
742.4,-0.00355938
742.3,-0.00354505
742.2,-0.00354726
742.1,-0.00355794
742,-0.00356021
741.9,-0.00358361
741.8,-0.00357293
741.7,-0.00355132
741.6,-0.00353944
741.5,-0.00351407
741.4,-0.00351664
741.3,-0.00353944
741.2,-0.00354959
741.1,-0.0035592
741,-0.00356081
740.9,-0.00355078
740.8,-0.00354105
740.7,-0.00353831
740.6,-0.00354183
740.5,-0.0035426
740.4,-0.00355311
740.3,-0.00355532
740.2,-0.0035503
740.1,-0.00356839
740,-0.00358636
739.9,-0.0035826
739.8,-0.00357072
739.7,-0.00356272
739.6,-0.00356356
739.5,-0.00356081
739.4,-0.00357269
739.3,-0.00357812
739.2,-0.00356953
739.1,-0.00357585
739,-0.00357693
738.9,-0.00356535
738.8,-0.00357932
738.7,-0.00356881
738.6,-0.00355442
738.5,-0.00355323
738.4,-0.00354863
738.3,-0.00354583
738.2,-0.00354666
738.1,-0.00354624
738,-0.00354099
737.9,-0.00354678
737.8,-0.00355209
737.7,-0.00354714
737.6,-0.00355442
737.5,-0.00355186
737.4,-0.0035697
737.3,-0.00357675
737.2,-0.00358546
737.1,-0.00360337
737,-0.00359012
736.9,-0.00356803
736.8,-0.00356302
736.7,-0.00356732
736.6,-0.00355341
736.5,-0.00358224
736.4,-0.00358248
736.3,-0.00356296
736.2,-0.00357144
736.1,-0.00355496
736,-0.00354081
735.9,-0.00353096
735.8,-0.0035164
735.7,-0.00350786
735.6,-0.00351288
735.5,-0.00350141
735.4,-0.00349921
735.3,-0.00351473
735.2,-0.00351383
735.1,-0.00353448
735,-0.0035583
734.9,-0.00355872
734.8,-0.00356487
734.7,-0.00355323
734.6,-0.00355168
734.5,-0.00355395
734.4,-0.00354851
734.3,-0.00358134
734.2,-0.00357866
734.1,-0.00357567
734,-0.00358445
733.9,-0.00356153
733.8,-0.00357317
733.7,-0.00356899
733.6,-0.00356803
733.5,-0.00358517
733.4,-0.00356738
733.3,-0.00358522
733.2,-0.00359006
733.1,-0.00359669
733,-0.00361507
732.9,-0.00360272
732.8,-0.00358463
732.7,-0.00355436
732.6,-0.00353496
732.5,-0.00353842
732.4,-0.00352225
732.3,-0.00352481
732.2,-0.00352344
732.1,-0.00351282
732,-0.00353383
731.9,-0.00350911
731.8,-0.00348291
731.7,-0.00346297
731.6,-0.00345945
731.5,-0.00347401
731.4,-0.00350995
731.3,-0.00352822
731.2,-0.00350374
731.1,-0.00349085
731,-0.00345157
730.9,-0.00343838
730.8,-0.00344059
730.7,-0.00344375
730.6,-0.00345808
730.5,-0.00345175
730.4,-0.00344584
730.3,-0.00343372
730.2,-0.00340435
730.1,-0.00341157
730,-0.00340161
729.9,-0.00340316
729.8,-0.0034059
729.7,-0.00339635
729.6,-0.00342125
729.5,-0.00340596
729.4,-0.00336716
729.3,-0.00335618
729.2,-0.0033286
729.1,-0.00335051
729,-0.00338561
728.9,-0.0033708
728.8,-0.00337134
728.7,-0.00336358
728.6,-0.00338322
728.5,-0.00340184
728.4,-0.0033902
728.3,-0.00339564
728.2,-0.00336358
728.1,-0.00335063
728,-0.00335355
727.9,-0.00335403
727.8,-0.0033526
727.7,-0.0033606
727.6,-0.00334466
727.5,-0.00331045
727.4,-0.00330144
727.3,-0.00327117
727.2,-0.00328741
727.1,-0.00329875
727,-0.00332627
726.9,-0.00335922
726.8,-0.00337677
726.7,-0.00338895
726.6,-0.00338573
726.5,-0.0033837
726.4,-0.00339289
726.3,-0.00339743
726.2,-0.00340674
726.1,-0.00340304
726,-0.00340799
725.9,-0.0034185
725.8,-0.00340507
725.7,-0.00338543
725.6,-0.00338418
725.5,-0.00337015
725.4,-0.00339014
725.3,-0.00343575
725.2,-0.00343981
725.1,-0.0034385
725,-0.00343372
724.9,-0.00341157
724.8,-0.00339641
724.7,-0.00339319
724.6,-0.00339826
724.5,-0.00339904
724.4,-0.00339731
724.3,-0.00342232
724.2,-0.00341289
